bacati,baciti
baciti,bacati
bijeliti,bijeljeti
bijeljeti,bijeliti
birati,brati
voditi,vesti
bjelasati,bjelasnuti
blagosloviti,blagoslivljati
brzati,brznuti
buknuti,buktati
cimati,cimnuti
cičati,ciknuti
crći,crkavati
dahnuti,dahtati
priređivati,prirediti
darivati,darovati
darovati,darivati
dati,davati
davati,dati
desiti,dešavati
svesti,svoditi
privesti,privoditi
dešavati,desiti
dirati,dirnuti
dirnuti,dirati
dići,dizati
dobaciti,dobacivati
dobacivati,dobaciti
dobiti,dobivati
dobivati,dobiti
dodati,dodavati
dodavati,dodati
dodijeliti,dodjeljivati
dodirivati,dodirnuti
dodirnuti,dodirivati
dodjeljivati,dodijeliti
događati,dogoditi
dogoditi,događati
dogovarati,dogovoriti
dogovoriti,dogovarati
dohvatiti,dohvaćati
dojaviti,dojavljivati
dokazati,dokazivati
dokazivati,dokazati
dokučiti,dokučivati
dolikovati,doličiti
domisliti,domišljati
domišljati,domisliti
donijeti,donositi
donositi,donijeti
dopadati,dopasti
dopasti,dopadati
dopirati,doprijeti
dopisivati,dopisati
dopremati,dopremiti
dopremiti,dopremati
doprijeti,dopirati
doprinijeti,doprinositi
doprinositi,doprinijeti
dopuniti,dopunjavati
dopustiti,dopuštati
dopuštati,dopustiti
doraditi,dorađivati
dosaditi,dosađivati
dosađivati,dosaditi
dosegnuti,dosezati
doseliti,doseljavati
dospijevati,dospjeti
dospjeti,dospijevati
dostaviti,dostavljati
dostavljati,dostaviti
dostignuti,dostizati
dostizati,dostignuti
dotrčati,dotrčavati
dovesti,dovoziti
doviknuti,dovikivati
dovoditi,dovesti2
dozivati,dozvati
doznati,doznavati
doznavati,doznati
dozvati,dozivati
dozvoliti,dozvoljavati
dozvoljavati,dozvoliti
doći,dolaziti
dočarati,dočaravati
dočekati,dočekivati
očekati,očekivati
doživjeti,doživljavati
doživljavati,doživjeti
drijemati,dremnuti
duhati,duhnuti
frkati,frknuti
gakati,gaknuti
glasati,glasovati
glasovati,glasati
goniti,gonjati
granuti,granjivati
grepsti,grebati
gurati,gurnuti
gurnuti,gurati
hrkati,hrknuti
iscijediti,iscjeđivati
iscijeliti,iscjeljivati
iscrpiti,iscrpljivati
iscrpljivati,iscrpiti
pisati,napisati
iscuriti,iscurivati
iseliti,iseljavati
iseljavati,iseliti
isjeći,isijecati
iskaliti,iskaljivati
iskaljivati,iskaliti
iskazati,iskazivati
iskazivati,iskazati
iskašljati,iskašljavati
